Title,URL,Date,Image,LastScraped
"ជំនួបពិភាក្សាការងារជាមួយគណៈប្រតិភូក្រុមហ៊ុន Hong Leong Yamaha Motor Co., Ltd.",https://cdc.gov.kh/recent-news/%e1%9e%87%e1%9f%86%e1%9e%93%e1%9e%bd%e1%9e%94%e1%9e%96%e1%9e%b7%e1%9e%97%e1%9e%b6%e1%9e%80%e1%9f%92%e1%9e%9f%e1%9e%b6%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%84%e1%9e%b6%e1%9e%9a%e1%9e%87%e1%9e%b6-65/,Wed 25 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/6-21.jpg,2025-07-01 14:27:50
កិច្ចសន្ទនាលើកទី២ រវាងរដ្ឋ និងវិស័យឯកជន កម្ពុជា-សាធារណរដ្ឋកូរ៉េ ឆ្លុះបញ្ចាំងពីការយកចិត្តទុកដាក់ខ្ពស់របស់រាជរដ្ឋាភិបាលក្នុងការថែទាំគាំទ្រវិនិយោគបរទេសនៅកម្ពុជា,https://cdc.gov.kh/recent-news/%e1%9e%80%e1%9e%b7%e1%9e%85%e1%9f%92%e1%9e%85%e1%9e%9f%e1%9e%93%e1%9f%92%e1%9e%91%e1%9e%93%e1%9e%b6%e1%9e%9b%e1%9e%be%e1%9e%80%e1%9e%91%e1%9e%b8%e1%9f%a2-%e1%9e%9a%e1%9e%9c%e1%9e%b6%e1%9e%84-3/,Wed 25 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/7-17.jpg,2025-07-01 14:27:50
ក្រុមហ៊ុនភេសជ្ជៈកម្ពុជា (កូកា-កូឡា) បង្ហាញការតាំងចិត្តខ្ពស់ក្នុងការស្វែងរកដៃគូផ្គត់ផ្គង់វត្ថុធាតុដើមក្នុងស្រុក,https://cdc.gov.kh/recent-news/%e1%9e%80%e1%9f%92%e1%9e%9a%e1%9e%bb%e1%9e%98%e1%9e%a0%e1%9f%8a%e1%9e%bb%e1%9e%93%e1%9e%97%e1%9f%81%e1%9e%9f%e1%9e%87%e1%9f%92%e1%9e%87%e1%9f%88%e1%9e%80%e1%9e%98%e1%9f%92%e1%9e%96%e1%9e%bb%e1%9e%87/,Tue 24 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/5-26.jpg,2025-07-01 14:27:50
ជំនួបសម្តែងការគួរសម និងជម្រាបលាពីសំណាក់លោក William Lafferrandre,https://cdc.gov.kh/recent-news/%e1%9e%87%e1%9f%86%e1%9e%93%e1%9e%bd%e1%9e%94%e1%9e%9f%e1%9e%98%e1%9f%92%e1%9e%8f%e1%9f%82%e1%9e%84%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%82%e1%9e%bd%e1%9e%9a%e1%9e%9f%e1%9e%98-%e1%9e%93%e1%9e%b7-7/,Tue 24 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/3-34.jpg,2025-07-01 14:27:50
ដំណើរទស្សនកិច្ចសិក្សា និងស្វែងយល់ពីស្ថានភាពសេដ្ឋកិច្ច និងការវិនិយោគនៅកម្ពុជារបស់និស្សិតនៃសាកលវិទ្យាល័យប៊ែលធីអន្តរជាតិ,https://cdc.gov.kh/recent-news/%e1%9e%8a%e1%9f%86%e1%9e%8e%e1%9e%be%e1%9e%9a%e1%9e%91%e1%9e%9f%e1%9f%92%e1%9e%9f%e1%9e%93%e1%9e%80%e1%9e%b7%e1%9e%85%e1%9f%92%e1%9e%85%e1%9e%9f%e1%9e%b7%e1%9e%80%e1%9f%92%e1%9e%9f%e1%9e%b6-2/,Fri 20 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/3-33.jpg,2025-07-01 14:27:50
សិក្ខាសាលាស្តីពីការជំរុញការវិនិយោគបៃតងក្នុងតំបន់សេដ្ឋកិច្ចពិសេសនៅកម្ពុជា,https://cdc.gov.kh/recent-news/%e1%9e%9f%e1%9e%b7%e1%9e%80%e1%9f%92%e1%9e%81%e1%9e%b6%e1%9e%9f%e1%9e%b6%e1%9e%9b%e1%9e%b6%e1%9e%9f%e1%9f%92%e1%9e%8f%e1%9e%b8%e1%9e%96%e1%9e%b8%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%87%e1%9f%86%e1%9e%9a/,Fri 20 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/7-16.jpg,2025-07-01 14:27:50
ព្រះវិហារ-ស្មារតីរួមគ្នាជាធ្លុងមួយរវាងសមរភូមិមុខ និងសមរភូមិក្រោយ ដើម្បីការពារសុខសន្តិភាព បូរណភាពទឹកដី និងអធិបតេយ្យភាពជាតិយើង,https://cdc.gov.kh/recent-news/%e1%9e%96%e1%9f%92%e1%9e%9a%e1%9f%87%e1%9e%9c%e1%9e%b7%e1%9e%a0%e1%9e%b6%e1%9e%9a-%e1%9e%9f%e1%9f%92%e1%9e%98%e1%9e%b6%e1%9e%9a%e1%9e%8f%e1%9e%b8%e1%9e%9a%e1%9e%bd%e1%9e%98%e1%9e%82%e1%9f%92%e1%9e%93/,Fri 20 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/1-22.jpg,2025-07-01 14:27:50
ចុះជួបសំណេះសំណាលសួរសុខទុក្ខនាយទាហាន នាយទាហានរង ពលទាហាន និងកងកម្លាំង ដែលជាកងទ័ពឈរជើងជួរមុខតាមបណ្តោយព្រំដែនកម្ពុជា-ថៃ ក្នុងខេត្តឧត្តរមានជ័យ,https://cdc.gov.kh/recent-news/%e1%9e%85%e1%9e%bb%e1%9f%87%e1%9e%87%e1%9e%bd%e1%9e%94%e1%9e%9f%e1%9f%86%e1%9e%8e%e1%9f%81%e1%9f%87%e1%9e%9f%e1%9f%86%e1%9e%8e%e1%9e%b6%e1%9e%9b%e1%9e%9f%e1%9e%bd%e1%9e%9a%e1%9e%9f%e1%9e%bb%e1%9e%81/,Fri 20 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/5-21.jpg,2025-07-01 14:27:50
ទីស្ដីការក្រុមប្រឹក្សាអភិវឌ្ឍន៍កម្ពុជា ឯកឧត្តម ស៊ុន ចាន់ថុល ឧបនាយករដ្ឋមន្រ្តី អនុប្រធានទី១ ក.អ.ក. និងជាប្រធានគណៈកម្មាធិការប្រតិបត្តិដឹកនាំការអនុវត្តផែនទីបង្ហាញផ្លូវការអភិវឌ្ឍវិស័យយានយន្ត និងអេឡិចត្រូនិកកម្ពុជា បានអញ្ជើញជាអធិបតីដ៏ខ្ពង់ខ្ពស់ដឹកនាំកិច្ចប្រជុំលើកទី២ នៃគណៈកម្មាធិការប្រតិបត្តិ បន្ទាប់ពីបានប្រារព្ធកិច្ចប្រជុំលើកទី១ នៅថ្ងៃទី២៩ ខែសីហា ឆ្នាំ២០២៤ កន្លងទៅ។,https://cdc.gov.kh/recent-news/%e1%9e%91%e1%9e%b8%e1%9e%9f%e1%9f%92%e1%9e%8a%e1%9e%b8%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%80%e1%9f%92%e1%9e%9a%e1%9e%bb%e1%9e%98%e1%9e%94%e1%9f%92%e1%9e%9a%e1%9e%b9%e1%9e%80%e1%9f%92%e1%9e%9f%e1%9e%b6/,Wed 18 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/8-7.jpg,2025-07-01 14:27:50
សិក្ខាសាលាស្តីពីការពិនិត្យឡើងវិញ ការវិភាគមុខងារនិងរចនាសម្ព័ន្ធនៃក្រុមប្រឹក្សាអភិវឌ្ឍន៍កម្ពុជា,https://cdc.gov.kh/recent-news/%e1%9e%9f%e1%9e%b7%e1%9e%80%e1%9f%92%e1%9e%81%e1%9e%b6%e1%9e%9f%e1%9e%b6%e1%9e%9b%e1%9e%b6%e1%9e%9f%e1%9f%92%e1%9e%8f%e1%9e%b8%e1%9e%96%e1%9e%b8%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%96%e1%9e%b7%e1%9e%93/,Tue 17 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/7-12.jpg,2025-07-01 14:27:50
អបអរសាទរខួប ១០ឆ្នាំ នៃការបង្កើតសហព័ន្ធស្រូវអង្ករកម្ពុជា កំណែទម្រង់មុខមាត់កម្ពុជាលើវិស័យស្រូវអង្ករ,https://cdc.gov.kh/recent-news/%e1%9e%a2%e1%9e%94%e1%9e%a2%e1%9e%9a%e1%9e%9f%e1%9e%b6%e1%9e%91%e1%9e%9a%e1%9e%81%e1%9e%bd%e1%9e%94-%e1%9f%a1%e1%9f%a0%e1%9e%86%e1%9f%92%e1%9e%93%e1%9e%b6%e1%9f%86-%e1%9e%93%e1%9f%83%e1%9e%80%e1%9e%b6/,Mon 16 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/6-15.jpg,2025-07-01 14:27:50
អនុញ្ញាតជូនគណៈប្រតិភូវិទ្យាស្ថានស្រាវជ្រាវធុរកិច្ចកម្ពុជា (BRIC) ចូលជួបសម្ដែងការគួរសម និងពិភាក្សាការងារ,https://cdc.gov.kh/recent-news/%e1%9e%a2%e1%9e%93%e1%9e%bb%e1%9e%89%e1%9f%92%e1%9e%89%e1%9e%b6%e1%9e%8f%e1%9e%87%e1%9e%bc%e1%9e%93%e1%9e%82%e1%9e%8e%e1%9f%88%e1%9e%94%e1%9f%92%e1%9e%9a%e1%9e%8f%e1%9e%b7%e1%9e%97%e1%9e%bc%e1%9e%9c/,Mon 16 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/7-14.jpg,2025-07-01 14:27:50
ទទួលជួបប្រតិភូសភាពាណិជ្ជកម្មអាម៉េរិកប្រចាំនៅប្រទេសចិនភាគខាងត្បូង ដឹកនាំដោយលោកបណ្ឌិត Harley Seyedin ដែលធ្លាប់ទទួលបានទាំងពានរង្វាន់ Oslo Business for Peace និងមេដាយសន្តិភាពតាមរយៈពាណិជ្ជកម្ម ផ្តល់ដោយគណៈកម្មាធិការផ្តល់រង្វាន់ណូបែលផ្នែកសន្តិភាព និងសេដ្ឋកិច្ច,https://cdc.gov.kh/recent-news/%e1%9e%91%e1%9e%91%e1%9e%bd%e1%9e%9b%e1%9e%87%e1%9e%bd%e1%9e%94%e1%9e%94%e1%9f%92%e1%9e%9a%e1%9e%8f%e1%9e%b7%e1%9e%97%e1%9e%bc%e1%9e%9f%e1%9e%97%e1%9e%b6%e1%9e%96%e1%9e%b6%e1%9e%8e%e1%9e%b7%e1%9e%87/,Thu 12 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/6-11.jpg,2025-07-01 14:27:50
កិច្ចប្រជុំច្រកចេញ-ចូលតែមួយ” លើកទី៩ ក្នុងឆ្នាំ២០២៥ ត្រូវបានរៀបចំឡើងដើម្បីពិនិត្យពិភាក្សាលើសំណើសុំចុះបញ្ជីគម្រោងវិនិយោគមានលក្ខណៈសម្បត្តិគ្រប់គ្រាន់ចំនួន១២គម្រោង។,https://cdc.gov.kh/recent-news/%e1%9e%80%e1%9e%b7%e1%9e%85%e1%9f%92%e1%9e%85%e1%9e%94%e1%9f%92%e1%9e%9a%e1%9e%87%e1%9e%bb%e1%9f%86%e1%9e%85%e1%9f%92%e1%9e%9a%e1%9e%80%e1%9e%85%e1%9f%81%e1%9e%89-%e1%9e%85%e1%9e%bc%e1%9e%9b-6/,Thu 12 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/8-5.jpg,2025-07-01 14:27:50
គម្រោងវិនិយោគចំនួន៥៩ ដែលមានទុនវិនិយោគសរុបប្រមាណ៨១៦លានដុល្លារអាម៉េរិក ត្រូវបានចុះបញ្ជីដោយក្រុមប្រឹក្សាអភិវឌ្ឍន៍កម្ពុជាក្នុងខែឧសភា ឆ្នាំ២០២៥,https://cdc.gov.kh/recent-news/%e1%9e%82%e1%9e%98%e1%9f%92%e1%9e%9a%e1%9f%84%e1%9e%84%e1%9e%9c%e1%9e%b7%e1%9e%93%e1%9e%b7%e1%9e%99%e1%9f%84%e1%9e%82%e1%9e%85%e1%9f%86%e1%9e%93%e1%9e%bd%e1%9e%93%e1%9f%a5%e1%9f%a9-%e1%9e%8a%e1%9f%82/,Tue 10 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/1-14.jpg,2025-07-01 14:27:50
សេចក្តីប្រកាសព័ត៌មាន ស្តីពីលទ្ធផលកិច្ចប្រជុំចរចាជុំទី២ រវាងកម្ពុជា-សហរដ្ឋអាម៉េរិក ជុំវិញកិច្ចព្រមព្រៀងពាណិជ្ជកម្មបដិកា,https://cdc.gov.kh/recent-news/%e1%9e%9f%e1%9f%81%e1%9e%85%e1%9e%80%e1%9f%92%e1%9e%8f%e1%9e%b8%e1%9e%94%e1%9f%92%e1%9e%9a%e1%9e%80%e1%9e%b6%e1%9e%9f%e1%9e%96%e1%9f%90%e1%9e%8f%e1%9f%8c%e1%9e%98%e1%9e%b6%e1%9e%93-%e1%9e%9f-2/,Mon 9 Jun 2025,https://cdc.gov.kh/wp-content/uploads/2025/06/1-1.png,2025-07-01 14:27:50
