Title,URL,Date,Image
ពិធី “ប្រកាសដាក់ឱ្យប្រើប្រាស់មុខងាររបស់ FMIS និង អនុវត្តនីតិវិធីតាម FMIS ទាំងស្រុង ជាផ្លូវការ នៅការដ្ឋានបន្ថែម“,https://mef.gov.kh/news/pr-dpm-fmis-official-launching-full-official-procedures/,ថ្ងៃទី១១ ខែមេសា ២០២៥,https://mef.gov.kh/assets/uploads/2025/04/Photo_DPM_FMIS_Official_Launching_Full-Official_Procedures_16.jpg
ការប្រកាសដាក់ឱ្យអនុវត្តជាផ្លូវការនូវ «កម្មវិធីពិសេសជំរុញការវិនិយោគក្នុងខេត្តទាំងបួននៅភូមិភាគឦសាន នៃព្រះរាជាណាចក្រកម្ពុជា ឆ្នាំ២០២៥-២០២៨»,https://mef.gov.kh/news/pr-nortern-region-investment-promotion/,ថ្ងៃទី១០ ខែមេសា ២០២៥,https://mef.gov.kh/assets/uploads/2025/04/Photo_Nortern_Region_Investment_Promotion_3.jpg
ជំនួបសម្ដែងការគួរសមរវាង ឯកឧត្តមអគ្គបណ្ឌិតសភាចារ្យ អូន ព័ន្ធមុនីរ័ត្ន ឧបនាយករដ្ឋមន្រ្តី រដ្ឋមន្រ្តីក្រសួងសេដ្ឋកិច្ចនិងហិរញ្ញវត្ថុ ជាមួយលោក Kenichiro Kashiwase ប្រធានបេសកកម្ម នៃមូលនិធិរូបិយវត្ថុអន្តរជាតិ,https://mef.gov.kh/news/press-release-dpm-imf/,ថ្ងៃទី៤ ខែមេសា ២០២៥,https://mef.gov.kh/assets/uploads/2025/04/Photo_PR_DPM_Meeting_With_IMF_9.jpg
ជំនួបសម្តែងការគួរសម រវាងឯកឧត្តមអគ្គ-បណ្ឌិតសភាចារ្យ អូន ព័ន្ធមុនីរ័ត្ន ឧបនាយករដ្ឋមន្ត្រី រដ្ឋមន្ត្រីក្រសួងសេដ្ឋកិច្ច និងហិរញ្ញវត្ថុ ជាមួយ ឯកឧត្តម កាន់ដា ម៉ាសាតូ (KANDA Masato) ប្រធានធនាគារអភិវឌ្ឍន៍អាស៊ី (ADB),https://mef.gov.kh/news/press-repease-dpm-meeting-adb/,ថ្ងៃទី២១ ខែមីនា ២០២៥,https://mef.gov.kh/assets/uploads/2025/03/Photo_PR_DPM_Meeting_KANDA-Masato_ADB_14.jpg
លទ្ធផលនៃកិច្ចប្រជុំគណៈកម្មាធិការគោលនយោបាយសេដ្ឋកិច្ច និងហិរញ្ញវត្ថុ ពិនិត្យ និងពិភាក្សាលើ «សេចក្តីព្រាងផែនការយុទ្ធសាស្ត្រអភិវឌ្ឍន៍ជាតិ»,https://mef.gov.kh/news/pr_dpm_fpec-meeting_draft_national_development_plan/,ថ្ងៃទី១៧ ខែមីនា ២០២៥,https://mef.gov.kh/assets/uploads/2025/03/Photo_PR_DPM_FPEC_Draft_National_Development_Plan_1.jpg
កម្មវិធីបិទកិច្ចប្រជុំត្រួតពិនិត្យប្រចាំឆ្នាំ ២០២៤ នៃកម្មវិធីកែទម្រង់ការគ្រប់គ្រងហិរញ្ញវត្ថុសាធារណៈ ដំណាក់កាលទី ៤,https://mef.gov.kh/news/pr-dpm-closing-pfm-annual-meeting-2024/,ថ្ងៃទី១៥ ខែមីនា ២០២៥,https://mef.gov.kh/assets/uploads/2025/03/Photo_PR_DPM_Close_Annual_PFM_Meeting_2024_2.jpg
កម្មវិធីបើកកិច្ចប្រជុំត្រួតពិនិត្យប្រចាំឆ្នាំ ២០២៤ នៃកម្មវិធីកែទម្រង់ការគ្រប់គ្រងហិរញ្ញវត្ថុសាធារណៈ ដំណាក់កាលទី ៤,https://mef.gov.kh/news/pr-dpm-pfm-anual-meeting-2024/,ថ្ងៃទី១៣ ខែមីនា ២០២៥,https://mef.gov.kh/assets/uploads/2025/03/Photo_PR_DPM_Annual_PFM_Meeting_2024_2.jpg
ក្របខ័ណ្ឌនិម្មាបនកម្មប្រព័ន្ធបច្ចេកវិទ្យាព័ត៌មានក្រសួងសេដ្ឋកិច្ចនិងហិរញ្ញវត្ថុ ប្រែសម្រួលជាភាសាអង់គ្លេស The Ministry of Economy and Finance Information Technology Architecture Framework (Unofficial Translation),https://mef.gov.kh/news/%e1%9e%80%e1%9f%92%e1%9e%9a%e1%9e%94%e1%9e%81%e1%9f%90%e1%9e%8e%e1%9f%92%e1%9e%8c%e1%9e%93%e1%9e%b7%e1%9e%98%e1%9f%92%e1%9e%98%e1%9e%b6%e1%9e%94%e1%9e%93%e1%9e%80%e1%9e%98%e1%9f%92%e1%9e%98%e1%9e%94/,ថ្ងៃទី៦ ខែមីនា ២០២៥,https://mef.gov.kh/assets/uploads/2025/03/Facebook_1280x1280-1.jpg
កិច្ចប្រជុំពិនិត្យលើការរៀបចំឯកសារក្របខណ្ឌនៃការអភិវឌ្ឍ និងគ្រប់គ្រងអាជីវកម្មកំពង់ផែទន្លេនៅកម្ពុជា,https://mef.gov.kh/news/pr-dpm-review-framework-document-river-port-business/,ថ្ងៃទី១៣ ខែកុម្ភៈ ២០២៥,https://mef.gov.kh/assets/uploads/2025/02/PR_DPM_Photo_1.jpg
ជំនួបពិភាក្សាការងារ រវាង ឯកឧត្តមអគ្គបណ្ឌិតសភាចារ្យ អូន ព័ន្ធមុនីរ័ត្ន ឧបនាយករដ្ឋមន្ត្រី រដ្ឋមន្ត្រីក្រសួងសេដ្ឋកិច្ច និងហិរញ្ញវត្ថុ ជាមួយ ឯកឧត្តម KATO Katsunobu រដ្ឋមន្ត្រីក្រសួងហិរញ្ញវត្ថុ និងជារដ្ឋមន្ត្រីទទួលបន្ទុក សេវាកម្មហិរញ្ញវត្ថុជប៉ុន,https://mef.gov.kh/news/press-release-dpm-meeting-kato-katsunobu/,ថ្ងៃទី១៤ ខែមករា ២០២៥,https://mef.gov.kh/assets/uploads/2025/01/Photo_PR_DPM_Meeting_KATO-Katsunobu_12.jpg
