Title,URL,Date,Image
ការបោះឆ្នោតបំពេញបន្ថែមសមាជិកគណៈអចិន្ត្រៃយ៍ សមាជិកគណៈកម្មាធិការកណ្ដាល ព្រមទាំងបោះឆ្នោតអនុម័តវិសោធនកម្មលក្ខន្តិកៈ និងបទបញ្ជាផ្ទៃក្នុងរបស់ខ្លួន,https://tourism.gov.kh/2025/06/news-130/,2025-06-23T10:44:03+07:00,https://asset.cambodia.gov.kh/tourism/2025/06/photo_5_2025-06-23_10-30-16-768x512.jpg
ផ្លូវថ្មើរជើងចតុមុខ (Chaktomuk Walk Street) ជាគោលដៅទេសចរណ៍ថ្មី ស្អាត បៃតង ទាក់ទាញ រស់រវើក និងមានតម្លៃបន្ថែមតាមរយៈការច្របាច់បញ្ចូលនូវវប្បធម៌ ប្រពៃណី ទំនៀមទំលាប់,https://tourism.gov.kh/2025/06/news-129/,2025-06-23T09:38:24+07:00,https://asset.cambodia.gov.kh/tourism/2025/06/photo_3_2025-06-23_09-24-02-768x398.jpg
សមាគមសិល្បៈករខ្មែរ គាំទ្រយុទ្ធនាការទស្សនាកម្ពុជានៅរដូវកាលបៃតង! Visit Cambodia in Green Season!,https://tourism.gov.kh/2025/06/news-128/,2025-06-23T09:13:12+07:00,https://asset.cambodia.gov.kh/tourism/2025/06/photo_9_2025-06-23_09-03-51-768x343.jpg
កម្ពុជា និងម៉ាឡេស៊ី៖ រួមគ្នាពង្រឹង និងពង្រីកការតភ្ជាប់ផ្នែកទេសចរណ៍ និងការផ្លាស់ប្ដូររវាងប្រជាជននិងប្រជាជន,https://tourism.gov.kh/2025/06/news-127/,2025-06-21T10:30:17+07:00,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20410'%3E%3C/svg%3E"
សម្តេចតេជោ ហ៊ុន សែន អនុញ្ញាតឱ្យ ឯកឧត្តម Dato SRI Tiong King Sing រដ្ឋមន្ត្រីក្រសួងទេសចរណ៍ សិល្បៈ និងវប្បធម៍ នៃប្រទេសម៉ាឡេស៊ី ចូលជួបសម្តែងការគួរសម,https://tourism.gov.kh/2025/06/news-126/,2025-06-21T10:06:11+07:00,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20472'%3E%3C/svg%3E"
ឯកឧត្តម ហួត ហាក់ រដ្ឋមន្រ្តីក្រសួងទេសចរណ៍ បានអនុញ្ញាតជូន អ្នកឧកញ៉ា លីម ហ៊ួរនីតូ និងលោក Li Zhen សហប្រធានសមាគមយុវជនឌីជីថលកម្ពុជា-ចិន ព្រមទាំង KOLs ល្បីៗរបស់ប្រទេសកម្ពុជា និងប្រទេសចិន,https://tourism.gov.kh/2025/06/news-125/,2025-06-20T12:04:31+07:00,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20347'%3E%3C/svg%3E"
"ក្នុងស្មារតីបុរេសកម្ម, សកម្ម, និងអន្តរសកម្ម, មហាគ្រួសារវិស័យទេសចរណ៍ រួបរួមសាមគ្គីគ្នា ក្រោមទិសស្លោក៖ «ទាំងអស់គ្នាដើម្បីទេសចរណ៍, ទេសចរណ៍ដើម្បីទាំងអស់គ្នា»",https://tourism.gov.kh/2025/06/news-124/,2025-06-20T09:14:10+07:00,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20321'%3E%3C/svg%3E"
ជំនួបពិភាក្សាការងារជាមួយស្ថានទូតបារាំងលើវឌ្ឍនភាព និងការត្រៀមបើកដំណើរការសាលាវិជ្ជាជីវៈទេសចរណ៍ដំបូងគេនៅប្រទេសកម្ពុជា,https://tourism.gov.kh/2025/06/news-123/,2025-06-19T09:26:10+07:00,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20391'%3E%3C/svg%3E"
ឯកឧត្តម ហួត ហាក់ រដ្ឋមន្ត្រីក្រសួងទេសចរណ៍ បានអញ្ជើញជាអធិបតីក្នុងពិធីបើកសិក្ខាសាលាស្តីពីការប្រយុទ្ធប្រឆាំងផលិតផលក្លែងក្លាយដែលបង្កគ្រោះថ្នាក់មានហានិភ័យខ្ពស់ដល់សុខភាព និងសុវត្ថិភាពសង្គមក្នុងវិស័យទេសចរណ៍,https://tourism.gov.kh/2025/06/news-122/,2025-06-18T14:30:27+07:00,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20479'%3E%3C/svg%3E"
កិច្ចប្រជុំលើកដំបូងរបស់គណៈកម្មាធិការជាតិគ្រប់គ្រង និងអភិវឌ្ឍសហគមន៍ទេសចរណ៍ និងអេកូទេសចរណ៍ ក្នុងអាណត្តិ រាជរដ្ឋាភិបាល នីតិកាលទី៧ នៃរដ្ឋសភា,https://tourism.gov.kh/2025/06/news-120/,2025-06-17T09:43:13+07:00,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20382'%3E%3C/svg%3E"
