Title,URL,Date,Image
"ក្រសួងទេសចរណ៍ និងក្រុមហ៊ុនរដ្ឋចិន HEILONGJIANG PROVINCE MAIKU INFORMATION TECHNOLOGY CO., LTD. សហការរួមគ្នាលើការធ្វើឌីជីថលលូបនីយកម្មក្នុងវិស័យទេសចរណ៍ តាមរយៈការអភិវឌ្ឍទេសចរណ៍ឆ្លាតវៃ (Smart Tourism)",https://tourism.gov.kh/2025/07/news-139/,ថ្ងៃទី1 ខែកក្កដា 2025,https://asset.cambodia.gov.kh/tourism/2025/07/photo_2_2025-07-01_09-10-54-768x335.jpg
ឯកឧត្តម ហួត ហាក់ រដ្ឋមន្ត្រីក្រសួងទេសចរណ៍ បានអញ្ជើញជាអធិបតីក្នុងពិធីបិទវគ្គបណ្តុះបណ្តាលគ្រូបង្គោល និងការបើកសាកល្បងសាលាវិជ្ជាជីវៈទេសចរណ៍ និងការដាក់ឱ្យដំណើរការសាកល្បងនៃសាលាវិជ្ជាជីវៈទេសចរណ៍,https://tourism.gov.kh/2025/06/news-138/,ថ្ងៃទី30 ខែមិថុនា 2025,https://asset.cambodia.gov.kh/tourism/2025/06/photo_7_2025-06-30_09-55-16-e1751252708293-768x344.jpg
ឯកឧត្តមរដ្ឋមន្ត្រី ហួត ហាក់ អញ្ជើញថ្លែងបទបាឋកថាស្តីពី «កាលានុវត្តភាពអាជីពក្នុងវិស័យទេសចរណ៍ និងយុទ្ធនាការទស្សនាកម្ពុជានៅរដូវកាលបៃតង» នៅសាកលវិទ្យាល័យជាតិគ្រប់គ្រង,https://tourism.gov.kh/2025/06/news-136/,ថ្ងៃទី28 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20359'%3E%3C/svg%3E"
ឯកឧត្តម ហួត ហាក់ រដ្ឋមន្ត្រីក្រសួងទេសចរណ៍ បានអញ្ជើញជាអធិបតីក្នុងពិធីសំណេះសំណាលជាមួយប្រតិបត្តិករទេសចរណ៍រ៉ឺម៉កកង់បីខេត្តសៀមរាប ដើម្បីសាកសួរសុខទុក្ខ,https://tourism.gov.kh/2025/06/news-135/,ថ្ងៃទី25 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20432'%3E%3C/svg%3E"
ទស្សនកិច្ចគោលដៅទេសចរណ៍ក្នុងទីក្រុងទេសចរណ៍សៀមរាប និងតំបន់ប្រាសាទអង្គរវត្ត,https://tourism.gov.kh/2025/06/news-134/,ថ្ងៃទី25 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20512'%3E%3C/svg%3E"
កម្ពុជា និងកាហ្សាក់ស្ថាន៖ រួមគ្នាពង្រឹង និងពង្រីកមិត្តភាព និងកិច្ចសហប្រតិបត្តិការទេសចរណ៍ តាមរយៈការតភ្ជាប់ផ្នែកទេសចរណ៍ និងការផ្លាស់ប្ដូររវាងប្រជាជននិងប្រជាជន,https://tourism.gov.kh/2025/06/news-133/,ថ្ងៃទី25 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20402'%3E%3C/svg%3E"
ឯកឧត្តម ហួត ហាក់ រដ្ឋមន្ត្រីក្រសួងទេសចរណ៍ បានអញ្ជើញជាអធិបតីក្នុងពិធីបើកវគ្គបណ្តុះបណ្តាលវិក្រឹតការមគ្គុទ្ទេសក៍ទេសចរណ៍តំបន់សៀមរាបសម្រាប់ឆ្នាំ២០២៥,https://tourism.gov.kh/2025/06/news-132/,ថ្ងៃទី24 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20432'%3E%3C/svg%3E"
ឯកឧត្តមរដ្ឋមន្ត្រីក្រសួងទេសចរណ៍ និងឯកឧត្តមរដ្ឋមន្ត្រីក្រសួងអភិវឌ្ឍន៍ជនបទ អញ្ជើញចុះពិនិត្យហេដ្ឋារចនាសម្ព័ន្ធផ្លូវរទេះមួយខ្សែ ចូលទៅកាន់ប្រាសាទបន្ទាយធំ,https://tourism.gov.kh/2025/06/news-131/,ថ្ងៃទី24 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20512'%3E%3C/svg%3E"
ការបោះឆ្នោតបំពេញបន្ថែមសមាជិកគណៈអចិន្ត្រៃយ៍ សមាជិកគណៈកម្មាធិការកណ្ដាល ព្រមទាំងបោះឆ្នោតអនុម័តវិសោធនកម្មលក្ខន្តិកៈ និងបទបញ្ជាផ្ទៃក្នុងរបស់ខ្លួន,https://tourism.gov.kh/2025/06/news-130/,ថ្ងៃទី23 ខែមិថុនា 2025,https://asset.cambodia.gov.kh/tourism/2025/06/photo_5_2025-06-23_10-30-16-768x512.jpg
ផ្លូវថ្មើរជើងចតុមុខ (Chaktomuk Walk Street) ជាគោលដៅទេសចរណ៍ថ្មី ស្អាត បៃតង ទាក់ទាញ រស់រវើក និងមានតម្លៃបន្ថែមតាមរយៈការច្របាច់បញ្ចូលនូវវប្បធម៌ ប្រពៃណី ទំនៀមទំលាប់,https://tourism.gov.kh/2025/06/news-129/,ថ្ងៃទី23 ខែមិថុនា 2025,https://asset.cambodia.gov.kh/tourism/2025/06/photo_3_2025-06-23_09-24-02-768x398.jpg
